,left_context,right_context,DISAGREE,value,AREA,AREA (reassessed by Kwame from Seitu feedback),Theme convereted areas,IGNORE_THIS,group,new_group,the_cutoff,SUMMARIZING_QUESTION,OVERALL PROGRESS,SUMMARIZING_RATIO,NUMBER OF ROWS,NUMBER UN-SUMMARIZED,NUMBER ROW SUMMARIZED,,,,,,
15190,Please confirm that your organization:,,,"Will maintain the expertise necessary to conduct, control, manage,
    and monitor all aspects of the project in compliance with all
    applicable ethical, legal, regulatory, and safety requirements
    including applicable international, national, state, local, and
    institutional, school district or school network standards and
    policies and is responsible for determining and complying with these
    requirements and standards; 

-   Will not disclose any confidential or protected information to the
    foundation without obtaining prior written approval from the
    foundation and all necessary consents to disclose such
    information;  

-   Acknowledges that any activities by the foundation in reviewing
    documents, providing input or funding does not modify your
    organization’s responsibility for determining and complying with all
    applicable ethical, legal, regulatory, and safety requirements for
    the project in all places; 

-   Is a government agency, public institution or multilateral
    organization or will otherwise maintain insurance coverage
    sufficient to cover the activities, risks, and potential omissions
    of the project in accordance with generally-accepted standards and
    as required by law (for instance, general, professional, clinical
    trial, product liability, medical malpractice, workers'
    compensation, or otherwise); and

-   Will not transfer any biological materials, chemicals, reagents,
    hazardous materials, or the like to the foundation.  

Confirmed
Not confirmed (please explain)",Miscellaneous,Miscellaneous,Miscellaneous,,549,,0.44,&&&,,,,,,,,,,,
15191,DIRECT COSTS - PERSONNEL –,,,"For personnel/staff (FTE) ,include position/title (names
    are not necessary), salary, and other personnel costs (sometimes
    referred to as “fringe” costs, other personnel costs can include
    benefits, payroll taxes, etc.). Do not include payments to
    non-employees (contractors, consultants, and/or partners) here—list
    them in the Other Costs section below. _List key staff_ overseeing
    or contributing to this grant work. Include their title, what
    percent of their time will be devoted to the proposed work, and a
    brief description of how they will contribute to that work. May
    include existing staff to oversee and/or work on the proposed
    project, with justification for the percent of their time charged to
    the grant. If a staff member will oversee or contribute to the grant
    work, but you are not requesting funding for them, please include
    them in the Personnel narrative but state that their work is in-kind
    or funded by other revenue sources. If you are requesting personnel
    costs for more than one year, you may include reasonable increases
    for cost-of-living adjustments and merit-based raises (remember to
    adjust the Other Personnel Costs including benefits accordingly).",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,550,,0.44,&&&,,,,,,,,,,,
15192,"In lieu of responding to the narrative proposal questions in the online form, you may either:",,,"1. Submit a proposal you've developed for another funder that addresses all required questions. It should be no longer than 12 pages and there is no need to customize it for <REDACTED>. Upload the document to the Optional Attachments page at the end of the online form. Then, in each of the narrative question boxes, let us know you've chosen this option by entering ""please refer to attached proposal.""

2. Submit video or audio responses. Record video or audio responses to each question and upload them to YouTube, Vimeo, SoundCloud, or a platform of your choice, and provide links in each of the response boxes on the proposal. Please record a separate response for each question. We're not looking for perfection or professional quality audio or video. But please review your recordings to ensure that a listener will be able to clearly hear your responses and that there is little background noise or interference. We recommend a response of 100-400 words for most of our narrative
questions. For audio or video recordings, this will typically be a 1-3-minute recording. A 250-word response will be a bit under two minutes.",Miscellaneous,What the Organization Does,What the Organization Does,,551,,0.44,&&&,,,,,,,,,,,
15195,,,,"If you are an Indian organization/entity subject to India’s Foreign
    Contribution Regulation Act (FCRA), then in compliance with FCRA, do
    you confirm that your proposed project will not include any
    subgrantees",Miscellaneous,What the Organization Does,What the Organization Does,,553,,0.44,&&&,,,,,,,,,,,
15196,,,X,"Do you represent that the project activities were conducted in
    compliance with all applicable ethical, legal, regulatory and safety
    requirements",Miscellaneous,Miscellaneous,Miscellaneous,,554,,0.44,&&&,,,,,,,,,,,
15197,,,,"Do you confirm that you have provided a full and accurate disclosure
    of all outputs/Funded Developments and Background Technology as
    applicable to the project",Miscellaneous,Miscellaneous,Miscellaneous,,555,,0.44,&&&,,,,,,,,,,,
15207,,,,Are you the project manager,Requested Grant Funding Related,Organizational Biographical and General Information,Organizational Biographical and General Information,,560,,0.44,&&&,,,,,,,,,,,
15208,"Advocacy and Lobbying While the foundation funds a broad range of advocacy activities, U.S. law prohibits foundation funds from being earmarked to support direct or grassroots lobbying communications. You should answer “Yes” to this question if this project will include engaging with the public or government partners to influence government policy decisions or actions.",,,Does your project include advocacy activities?,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,561,,0.44,&&&,,,,,,,,,,,
15209,,,,"Does your project involve charging participants for goods or
    services",Requested grant funding,Requested Grant Funding Related,Requested Grant Funding Related Related,,562,,0.44,&&&,,,,,,,,,,,
15215,"If yes, please list all approvals and consents required for each site and describe the time frame in which your organization will acquire the necessary approvals and consents.","_Note: The foundation will not serve as the sponsor/responsible party nor accept delegation of any of these responsibilities. If the project will not involve such activities, please indicate not applicable or N/A below._",X,"-   If yes, please identify the name of the entity that will be the
    sponsor/responsible party of any clinical trials, studies involving
    human subjects, experimental medicine studies, post-approval
    studies, products, or regulatory filings contemplated by the
    project.",Requested grant funding,"Data Handling, Overview, Measurement, Evaluation and Reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,565,,0.44,&&&,,,,,,,,,,,
15216,,,,Does the project involve regulated human subject research,Requested grant funding,"Data Handling, Overview, Measurement, Evaluation and Reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,566,,0.44,&&&,,,,,,,,,,,
15220,"Outputs/Funded Developments and Background Technology Update Update the table below to reflect completed and/or adjusted outputs, and new outputs/Funded Developments not previously reported. See your original results table in Section A of your proposal for reference.",,,"Number   
Output/Funded 
Development Description   
Newly Added
Output/Funded Development?
Status
Target
Actual
Third-Party agreement required?
If yes, by when?
Will any IP rights be filed/ generated?",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,568,,0.44,&&&,,,,,,,,,,,
15227,MEASURING PROGRESS ON ACTIVITIES AND OUTCOMES,"If awarded, we ask all <REDACTED> Foundation grantees to work collaboratively with us on documenting an evaluation framework. This will include working with us to finalize your objectives for this grant and describe your intended activities, outcomes and measures for this grant. Your program officer will connect with you within a few weeks of receiving your award letter to begin this process.",,What resources do you have available for evaluation of this grant? What support might you need?,Alternative Supports,Alternative Supports,Alternative Supports,,572,,0.44,&&&,,,,,,,,,,,
15239,"While the foundation funds a broad range of advocacy activities, U.S. law prohibits foundation funds from being earmarked to support direct or grassroots lobbying communications","Your response should demonstrate your understanding of the relevant restrictions and exceptions and explain how you will manage compliance during the term of the project. If relevant, also explain how you will comply with other pertinent lobbying rules or requirements (e.g., local, state, or federal disclosure rules).",,"If “yes,” please describe how the project will be conducted to
    ensure foundation funds are not earmarked to support grassroots or
    direct lobbying, as summarized in the foundation’s Advocacy
    Guidelines, identifying any potential legislative actions related to
    your advocacy goals.",Requested Grant Funding Related,Requested Grant Funding Related,Requested Grant Funding Related Related,,578,,0.44,&&&,,,,,,,,,,,
15240,"DO YOU RECEIVE FEDERAL, STATE, CITY OF DENVER, OR OTHER LOCAL AGENCY FUNDS (INCLUDING CONTRACTS, GRANTS, AND REIMBURSEMENTS) FOR THIS WORK?",,,"IF YES, EXPLAIN HOW CARING FOR <REDACTED> FOUNDATION GRANT FUNDS WILL BE USED TO SUPPLEMENT (NOT SUPPLANT) EXISTING FUNDS.","Organizational Budgeting, Revenue Practices, and Forecasts",Requested Grant Funding Related,Requested Grant Funding Related Related,,579,,0.44,&&&,,,,,,,,,,,
15245,,,,"Please explain how the charity plans to meet the proposed
shortfall. If grant applications are pending, state which funder(s)
and when a decision is expected","Organizational Budgeting, Revenue Practices, and Forecasts","Organizational Budgeting, Revenue Practices, and Forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,582,,0.44,&&&,,,,,,,,,,,
15248,,,,"A project budget, if you are applying for one, for the period of the
    grant required",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,584,,0.44,&&&,,,,,,,,,,,
15249,,,,"GRANT TERM:_ THE PROPOSED TIME PERIOD FOR FUNDING IS ONE TO TWO
    YEARS.  PLEASE INDICATE HOW MANY YEARS YOU ARE REQUESTING
    FUNDING FOR",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,585,,0.44,&&&,,,,,,,,,,,
15250,,,X,"ITEMIZED PROJECT BUDGET with narrative, current and pending funding
sources, amounts of funds requested from <REDACTED>, the proposed use, and
the time period over which funds will be expended",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,586,,0.44,&&&,,,,,,,,,,,
15257,Partial Funding Support,,,"Will you be able to implement the proposed project with partial funding from <REDACTED>? <REDACTED> may determine to provide a grant for less than the requested amount. If asked to
submit a Finalist Application, <REDACTED> may request you adjust your project plan, budget and outcomes accordingly.",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,590,,0.44,&&&,,,,,,,,,,,
15258,,,,"Would <REDACTED> funding, on an annual basis, be more than 10% of your operating budget? *
Please include potential funding under this proposal and any other active grants, subgrants, or
contracts","Organizational Budgeting, Revenue Practices, and Forecasts","Organizational Budgeting, Revenue Practices, and Forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,591,,0.44,&&&,,,,,,,,,,,
15259,,,,"In the event the Foundation is unable to meet your full request, please indicate priority items in the proposed grant
budget and alternative plans to cover the amount unmet",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,592,,0.44,&&&,,,,,,,,,,,
15264,,,,"Beyond the requested funding from this grant, will the total cost of
    this project require contributions of funding from other sources
    (either from your organization or others)",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,595,,0.44,&&&,,,,,,,,,,,
15265,Are you asking us to fund any specific activity/service or cost area in your projected expenditure?,,,"If so, please specify which (otherwise we will assume you are seeking our grant as a contribution towards overall running costs of the charity).",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,596,,0.44,&&&,,,,,,,,,,,
