left_context,question,right_context,identifier
,Other Contributors,"Corporate and Foundation Contributions Click HERE (<REDACTED>) to download the template to list your major foundation and corporate contributors (in Word). Once it is complete, please upload the file below. We kindly request that you include major contributors for the past two years and those who your agency is approaching in the current fiscal year. The purpose is to get a general sense of your other contributors rather than a comprehensive list. _PLEASE LIMIT YOUR LIST TO NO MORE THAN 2 PAGES. What constitutes a “major"" contribution is defined by the organization and can be over any internally determined threshold/dollar amount._ NOTES: - If you already have this information in a different document, feel free to attach that instead. Please include the contributor name, amount, year received (or pending/projected), and project name. - If the applicant organization is a local affiliate of a national organization, please focus on _local contributors_ instead of national.",1575
,Organizational & Project Budgets,,1564
,Primary Services,,1472
,_Board Contributions,,1645
,ELECTRONIC SIGNATURE,,1455
,Fiscal Sponsorship Agreement,,1452
,Organization's Mission Statement,,1399
,"Please provide the name(s) and title(s) of key personnel responsible for this
project",,2603
,Fiscal Year End,,2607
,"Please list at least three measurable project outcomes that you expect align
with the needs described in your proposal. Please describe your program
outcomes to date",,2646
,Project Budget Information,,2629
,Please upload your organizational budget for the current fiscal year,,2626
,"Describe why this approach best meets the needs of the population served. If
the approach is based on a best practice model, describe it. Or, if you developed
your own unique approach to this work, describe how that occurred",,2642
,"How has the population being served been involved in either the design or
implementation of this project",,2644
,Describe your financial management structure,,2613
GOVERNANCE & MANAGEMENT Governance,"* Describe the Board's involvement in supporting the project, including its role in securing additional funding or resources.
 * Please expand on the proposed project's level of alignment with your organization, its mission, and/or strategic plan (if applicable).",,2593
,Community Focus Proposal Questions,,9106
,Additional Information Program/Project,,2650
,Describe your financial health,,2615
,Project End,,2633
,"Describe your financial health (Tell us how you rate the condition of your finances,
including strengths and challenges",,9136
,Describe the measurement tools and methods,,2648
,Total # Part Time Employees,,2602
,"Please provide a list of key milestones relevant to the time period specified for
the project/program",,2641
,Describe the measurement tools and methods you will use to measure,,9177
,Total # Full Time Employees,,2601
,Staff Size,,2595
,Finance Documents,,2617
,Please upload your document for the most recently completed fiscal year,,9149
,Please upload a draft organizational budget for the upcoming fiscal year,,2627
,"Describe the Board's involvement in supporting the project, including its role in
securing additional funding or resources",,9112
"Finance Documents Please note that we request two completed years of financial data, plus the current year. Our preference is to receive audited financial statements; if audit is not available, then Form 990; and, if Form 990 is not available, then internal financial statements (includes budget to actual revenue & expense statement and balance sheet).",* Year covered by last audit (2015; 2016; 2017; 2018; 2019; 2020),,9152
,"Please upload internal financial statements for the current (partial) fiscal year, which includes a budget to actual revenue & expense statement and balance sheet.",,9151
,Year covered by last audit,,2619
,"* Categorize the work described in your proposal by selecting one or more of the following: 

(Policy/Advocacy; Training/Technical Assistance; Quality Improvement; Systems Change; Direct Services; Capacity Building)",,9162
,Additional Information Program/Project,"Please use this field to provide additional materials that support your application. For example, these materials can include but are not limited to letters of support, program/project marketing and evidence/research. DO NOT upload documents that expand upon the questions within the application. You may not exceed the word limit for the questions in the application by any means.",9181
,"Please expand on the proposed project's level of alignment with your organization,
its mission, and/or strategic plan (if applicable)",,9114
PROGRAM DETAILS,Project Information,,2631
,"Describe your financial management structure (tell us about the people and
processes you have in place that help you be a good steward of resources",,9134
,"If no audit in most recent fiscal year, please explain",,9147
,Project End date,,9161
,"Please upload your document for the second most recently completed fiscal
year",,9150
,Project Start date,,2632
,"Provide three (3) key organizations that you collaborate with to
  accomplish your goals for the community",,1389
,"List the organizations you would like to collaborate with, if any",,1390
CONTACTS,Name Title Email Phone Role,,1373
Description of Service,"Please select the <REDACTED> Officer you have been working  with on this proposal. If you have not been in contact with a <REDACTED> Officer, please select ""Not Applicable""",,1375
,Primary target population,,6158
,Applicant Name,,1365
,"How does your organization engage with, learn from and form authentic
  relationships with communities/populations that have historically been
  excluded and held back by unfair systems",,1393
,"How does this measure of success inform and/or influence the
  organization",,1387
,"What is the organization’s definition of success? Who helped determine
  this definition of success",,1384
,Geographic area(s) to be served by project requesting funding,,1382
,"What kind of information will inform this measure of success and how
  do you plan to collect it",,1385
,Organization EIN,,1363
,"Describe the continuous feedback process for participants and
  stakeholders",,1388
,Primary impact area,,1381
,Budget,,1398
,"How does your organization identify disparities that hold back these
  communities/populations",,1394
,"How does your organization work to address these disparities? Are they
  being addressed in a way that works to eliminate them",,1395
,"May we have your permission to share this information with other Donor
  Advised Funds held at <REDACTED>",,1378
,"What does your organization’s commitment to advancing racial and
  economic justice look like",,1392
,Given the population you serve is the leadership of your organization reflective of who you serve?,,6174
,"Applicant
  Phone",,1368
,Demographics,,1397
,Preferred grant period end date,,1380
,Need Addressed and Target Population,,1383
ORGANIZATION INFORMATION,Annual Organization  Budget:,,1364
,Preferred grant period begin date,,1379
,"Please select the <REDACTED> Officer you have been working
  with on this proposal",,1376
,"How do you recognize/celebrate the gifts/talents of the communities
  you support",,6173
,"Any additional organizational plans or services you would like to
  share",,1391
,Current Statement of Financial Position (also called a Balance Sheet),,5040
,Current Statement of Activities (also called a Profit-and-Loss Statement),,5045
,Length of Grant Request (in months),,4971
,Request as % of Organizational Budget,,4975
,Mailing State/Province,,5009
,Mailing Country,,5011
,Board/Staff Relationship,,5024
,"Does the organization have a written conflict
of interest policy",,4984
Board/Staff Relationship,US Congress,,13902
,Mailing City,,5005
,Funding Plan 3,,4995
,"Describe the professional background and
experience",,4987
,"On what date did they approve the budget for
the current fiscal year",,4982
,"Describe the organization's
administrative/management structure (for
example, is it more hierarchical or
horizontal)",,4986
Attachments 1. Most recent audited financial statement or financial review (if available}.,Attachment Description (Optional),,13913
,"For budget narratives and similar materials, or items requested by your program officer. Please do not attach
newsletters or clippings",,5062
,Staff Diversity Description,,4980
Leadership & Management,"In a few sentences, describe your board's strengths and weaknesses.","How often does the board meet? Provide a list of board committees that are in place, if any, and how often each meets? Does the board reflect the population served?",4978
,Funding Plan 1,,4993
,"Does the full board approve the annual
budget",,4981
General Operating Support,Annual Fundraising Cost Amount,,5020
Board/Staff Relationship,NYS Assembly,,13906
,Second Year,,4974
Board/Staff Relationship,NYS Senate,,13904
,First Year,,4973
,Organization's Phone Number,,5002
,"Please review and update the requested
amount and term of the grant that you
provided on the letter of inquiry",,4970
,Web Page,,5001
,EIN,,4998
,Physical Street,,5004
,Board Compensation,,5021
,Board Compensation Explanation,,5022
,Endowment(s} Balance,,5023
,"A current list of the organizations' board members, their positions on the board, terms of office, and professional
affiliations",,5056
,Mailing Zip/Postal Code,,5007
,County,,5013
,"Do the organization's by-laws set forth term
limits for the service of board members and
officers",,4985
Most recent audited financial statement or financial review (if available}.,Sr. Number,,5029
,Physical Zip/Postal Code,,5008
,Funding Plan 2,,4994
,Organizational Summary,,5016
,Mailing Street,,5003
,"Describe the professional background and experience of the chief staff officer and the chief financial officer. (Please do not attach or
include full resumes.)",,4988
